productCode,productName,productSlug,sku,colour,size,quantity,unitCostZar,lineTransferValueZar,approvedSellingPriceZar,costBasis,sourceFamily,basisNote,provisional,seller,buyer,legalSellerAfterTransfer,brand,category,enabled,availability
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-EGYBL-L,Egyptian Blue,L,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-EGYBL-M,Egyptian Blue,M,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-EGYBL-S,Egyptian Blue,S,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-PCHPE-L,Peach,L,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-PCHPE-M,Peach,M,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-PCHPE-S,Peach,S,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-SPPHR-L,Sapphire,L,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-SPPHR-M,Sapphire,M,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-SPPHR-S,Sapphire,S,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P026,KS Active High-Waist Seamless Short,ks-active-high-waist-seamless-short,KS-ARCH-P026-ELEVI-M,Electric Violet,M,1,100.0,100.0,419.0,January 2023 Order.xlsx family: high-waist-seamless-shorts,high-waist-seamless-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
