Item Name,SKU,Item Description,Selling Price,Product Type,Item Type,Track Inventory,Status,Unit,Sellable,Purchasable,Sales Account,Purchase Description,Purchase Price,Purchase Account,Inventory Account,Opening Stock,Opening Stock Value,Preferred Vendor,Brand,CF.Product Code,CF.Category,CF.Colour,CF.Size
KS Active Crossback Seamless Bra - Apricot - L,KS-ARCH-P020-APRCT-L,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Apricot. Size: L. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Apricot,L
KS Active Crossback Seamless Bra - Apricot - M,KS-ARCH-P020-APRCT-M,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Apricot. Size: M. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Apricot,M
KS Active Crossback Seamless Bra - Apricot - S,KS-ARCH-P020-APRCT-S,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Apricot. Size: S. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Apricot,S
KS Active Crossback Seamless Bra - Egyptian Blue - L,KS-ARCH-P020-EGYBL-L,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Egyptian Blue. Size: L. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Egyptian Blue,L
KS Active Crossback Seamless Bra - Egyptian Blue - M,KS-ARCH-P020-EGYBL-M,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Egyptian Blue. Size: M. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Egyptian Blue,M
KS Active Crossback Seamless Bra - Egyptian Blue - S,KS-ARCH-P020-EGYBL-S,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Egyptian Blue. Size: S. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Egyptian Blue,S
KS Active Crossback Seamless Bra - Peach - L,KS-ARCH-P020-PCHPE-L,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Peach. Size: L. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Peach,L
KS Active Crossback Seamless Bra - Peach - M,KS-ARCH-P020-PCHPE-M,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Peach. Size: M. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Peach,M
KS Active Crossback Seamless Bra - Peach - S,KS-ARCH-P020-PCHPE-S,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Peach. Size: S. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Peach,S
KS Active Crossback Seamless Bra - Sapphire - L,KS-ARCH-P020-SPPHR-L,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Sapphire. Size: L. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Sapphire,L
KS Active Crossback Seamless Bra - Sapphire - M,KS-ARCH-P020-SPPHR-M,KS Active Archive item sold by KALM Collective. Product code: P020. Colour: Sapphire. Size: M. Route: /product/ks-active-crossback-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P020.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P020,KS Active Archive,Sapphire,M
